	x.utm	y.utm	lon	lat
BE	192.77	5618.26	4.65	50.64
BY	1755.75	6103.10	28.06	53.54
CZ	956.08	5528.83	15.33	49.74
DE	597.13	5662.78	10.39	51.11
DK	562.05	6205.27	9.99	55.99
EO	1453.97	6621.95	25.55	58.67
FI	1321.01	7262.82	26.24	64.48
LT	1442.06	6233.56	23.91	55.33
LV	1466.33	6414.38	24.93	56.85
NL	268.56	5793.60	5.61	52.24
NO	744.75	7158.15	14.09	64.46
PL	1210.97	5825.74	19.40	52.12
RSC	2769.22	6792.82	46.00	55.50
RSN	2158.11	7615.86	44.76	64.27
RSS	3014.62	5949.44	43.28	48.33
SE	895.11	6984.95	16.76	62.78
SK	1270.52	5447.98	19.48	48.71
UK	2116.61	5690.22	31.27	49.17
